"","Ingles","Espanol"
"7744","I wear","llevo"
"7745","businessman","empresario"
"7746","lagoon","laguna"
"7747","expedition","expediciã"
"7748","direct","dirigiã"
"7749","suspicions","sospechas"
"7750","I send","mando"
"7751","individually","individualmente"
"7752","slowly","lentamente"
"7753","join","unan"
"7754","labors","labores"
"7755","Guaranteed","garantizados"
"7756","zu","zu"
"7757","intervene","intervienen"
"7758","indebtedness","endeudamiento"
"7759","daul","daul"
"7760","financially","financieramente"
"7761","granted","concedidas"
"7762","thread","hilo"
"7763","counterpart","contrapartida"
"7764","persistent","persistente"
"7765","bitats","bitats"
"7766","tibetans","tibetanos"
"7767","racial","racial"
"7768","maras","maras"
"7769","we were","estuvimos"
"7770","celebrate","celebran"
"7771","bonuses","bonos"
"7772","ammunition","municiones"
"7773","consolidated","consolidada"
"7774","repeatedly","reiteradamente"
"7775","inspiration","inspiraciã"
"7776","comunitarizaciã","comunitarizaciã"
"7777","Roman","romano"
"7778","worthy","dignos"
"7779","join","aunar"
"7780","default","defecto"
"7781","consecrated","consagrado"
"7782","speeds","velocidades"
"7783","Christian","cristianas"
"7784","resettlement","reasentamiento"
"7785","denial","denegaciã"
"7786","salmã","salmã"
"7787","discontent","descontento"
"7788","we respect","respetamos"
"7789","props","apoyos"
"7790","impose","imponerse"
"7791","we will find","encontraremos"
"7792","contemplate","contemple"
"7793","equip","dotarse"
"7794","lend","prestarse"
"7795","block","obstaculizar"
"7796","correspond","corresponda"
"7797","bado","bado"
"7798","try out","probar"
"7799","occupy","ocupen"
"7800","establishments","establecimientos"
"7801","Palestinians","palestinas"
"7802","blokland","blokland"
"7803","footwear","calzado"
"7804","unified","unificado"
"7805","supervisor","supervisor"
"7806","Malaysia","malasia"
"7807","resumed","reanudado"
"7808","vote","vota"
"7809","we grant","concedemos"
"7810","traits","rasgos"
"7811","we will examine","examinaremos"
"7812","delayed","tardado"
"7813","let's consider","consideremos"
"7814","demonstrate","demuestren"
"7815","educational","educativa"
"7816","value","valora"
"7817","minerals","minerales"
"7818","SMEs","pymes"
"7819","isolated","aislados"
"7820","sacrifice","sacrificar"
"7821","inventions","invenciones"
"7822","utico","utico"
"7823","Kaliningrad","kaliningrado"
"7824","lampedusa","lampedusa"
"7825","horizontal","horizontales"
"7826","no more","nomas"
"7827","feira","feira"
"7828","believe","creã­a"
"7829","we said","dijimos"
"7830","surplus","sobra"
"7831","arrived","llegados"
"7832","bowis","bowis"
"7833","alando","alando"
"7834","objectivity","objetividad"
"7835","graefe","graefe"
"7836","affirming","afirmando"
"7837","approve","aprobara"
"7838","complicated","complicadas"
"7839","investing","invirtiendo"
"7840","missiles","misiles"
"7841","operator","operador"
"7842","rompuy","rompuy"
"7843","present","presentara"
"7844","Cross","cruzar"
"7845","fronts","frentes"
"7846","I listened","escuche"
"7847","tenor","tenor"
"7848","third","terceras"
"7849","authorize","autoriza"
"7850","extend","extenderse"
"7851","trajectory","trayectoria"
"7852","track","senda"
"7853","tend","tienden"
"7854","prague","praga"
"7855","receivers","receptores"
"7856","imprisonment","encarcelamiento"
"7857","subcommittee","subcomisiã"
"7858","solvit","solvit"
"7859","harmonized","armonizada"
"7860","cos","cos"
"7861","provoked","provocados"
"7862","redouble","redoblar"
"7863","contemplated","contemplados"
"7864","extensive","extenso"
"7865","worthy","dignas"
"7866","penalize","penalizar"
"7867","coordinators","coordinadores"
"7868","reuse","reutilizaciã"
"7869","Cypriot","chipriota"
"7870","glance","vistazo"
"7871","confrontation","enfrentamiento"
"7872","I need","necesito"
"7873","cairo","cairo"
"7874","civilizations","civilizaciones"
"7875","needlessly","innecesariamente"
"7876","competition","competiciã"
"7877","due","debidas"
"7878","informative","informativa"
"7879","earn","ganarse"
"7880","kill","matar"
"7881","vigo","vigo"
"7882","let's approve","aprobemos"
"7883","decentralized","descentralizada"
"7884","unified","unificada"
"7885","famous","famosa"
"7886","many","muchã­simas"
"7887","bag","bolsa"
"7888","deep","profundos"
"7889","turn","giro"
"7890","selective","selectiva"
"7891","I refer","remito"
"7892","lannoye","lannoye"
"7893","will consider","considerarã"
"7894","audits","auditorã­as"
"7895","oriental","orientales"
"7896","raw","crudo"
"7897","go up","subir"
"7898","medicines","medicinas"
"7899","grateful","agradecidos"
"7900","dictators","dictadores"
"7901","would have","hubiesen"
"7902","mandates","mandatos"
"7903","informal","informales"
"7904","miles","millas"
"7905","machines","quinas"
"7906","equitable","equitativas"
"7907","imperialist","imperialista"
"7908","Slovak","eslovaco"
"7909","discuss","discute"
"7910","alarming","alarmantes"
"7911","they took","tomaron"
"7912","fundamenta","fundamenta"
"7913","collaborating","colaborando"
"7914","secure","aseguren"
"7915","angle","ngulo"
"7916","witnessed","presenciado"
"7917","get","consigan"
"7918","ascend","ascienden"
"7919","register","registra"
"7920","eventual","eventual"
"7921","quickly","deprisa"
"7922","unrest","disturbios"
"7923","cattle","ganaderã­a"
"7924","decisive","decisivas"
"7925","discards","descartes"
"7926","provided","brindado"
"7927","parallel","paralela"
"7928","harmed","perjudicados"
"7929","fijã","fijã"
"7930","ignoring","ignorando"
"7931","practice","practican"
"7932","leinen","leinen"
"7933","modality","modalidad"
"7934","persecuted","perseguidos"
"7935","manifest","manifestarse"
"7936","sides","bandos"
"7937","charge","cobrar"
"7938","will represent","representarã"
"7939","represent","represente"
"7940","powerful","potente"
"7941","underestimate","subestimar"
"7942","tissues","tejidos"
"7943","varãan","varã­an"
"7944","assuming","asumiendo"
"7945","collins","collins"
"7946","inherent","inherentes"
"7947","abyss","abismo"
"7948","we see","constatamos"
"7949","answer","respondan"
"7950","density","densidad"
"7951","feet","pies"
"7952","seminar","seminario"
"7953","last night","anoche"
"7954","qualities","cualidades"
"7955","denominator","denominador"
"7956","oriented","orientados"
"7957","phytosanitary","fitosanitarios"
"7958","jackson","jackson"
"7959","whole","enteras"
"7960","conceive","concebir"
"7961","to resist","resistir"
"7962","libraries","bibliotecas"
"7963","analyze","analiza"
"7964","compounds","compuestos"
"7965","ratify","ratifique"
"7966","dealers","distribuidores"
"7967","use","usarse"
"7968","see","verã­a"
"7969","enter","ingresar"
"7970","postpone","posponer"
"7971","presided","presidido"
"7972","paragraphs","rrafos"
"7973","remains","restos"
"7974","spouses","nyuges"
"7975","will answer","contestarã"
"7976","varãa","varã­a"
"7977","fingerprints","dactilares"
"7978","johannesburg","johanesburgo"
"7979","asem","asem"
"7980","translated","traducido"
"7981","irãa","irã­a"
"7982","partisan","partidaria"
"7983","chasm","sima"
"7984","agrarian","agrarias"
"7985","stones","piedras"
"7986","I could","pudiese"
"7987","inca","incã"
"7988","nomo","nomo"
"7989","persuade","persuadir"
"7990","let's try","intentemos"
"7991","recommended","recomendado"
"7992","brains","cerebros"
"7993","vet","veterinario"
"7994","saud","saudã­"
"7995","qualitative","cualitativo"
"7996","will stay","quedarã­a"
"7997","pavil","pabellã"
"7998","farms","granjas"
"7999","xenã","xenã"
"8000","involve","implicarse"
"8001","I defend","defiendo"
"8002","preliminary","preliminares"
"8003","bill","factura"
"8004","promote","promocionar"
"8005","deliberate","deliberada"
"8006","Jean","jean"
"8007","point","apuntar"
"8008","smoke","humo"
"8009","enroll","inscribe"
"8010","mostly","mayoritariamente"
"8011","North American","norteamericanas"
"8012","soul","alma"
"8013","scrapping","desguace"
"8014","rank","rango"
"8015","interpreted","interpretarse"
"8016","imperatives","imperativos"
"8017","movies","pelã­culas"
"8018","vocation","vocaciã"
"8019","expensive","costoso"
"8020","highlights","destacados"
"8021","I will study","estudiarã"
"8022","We appreciate","apreciamos"
"8023","we attend","asistimos"
"8024","Sakharov","sajarov"
"8025","system","sistã"
"8026","contrast","contraste"
"8027","theato","theato"
"8028","dismissal","despido"
"8029","Guatemala","guatemala"
"8030","forced","forzada"
"8031","solvency","solvencia"
"8032","homeland","patria"
"8033","adiciã","adiciã"
"8034","accept it","aceptarlo"
"8035","collective","colectivas"
"8036","surfaces","superficies"
"8037","haug","haug"
"8038","gebhardt","gebhardt"
"8039","gravel","gravã"
"8040","credentials","credenciales"
"8041","contract","contraã­do"
"8042","got","conseguidos"
"8043","notice","aviso"
"8044","Serbian","serbio"
"8045","direct","dirija"
"8046","aznar","aznar"
"8047","refer","remitir"
"8048","pass","pasen"
"8049","come out","salgan"
"8050","contained","contenida"
"8051","his","suyas"
"8052","incorrect","incorrecta"
"8053","Sun","sol"
"8054","copy","copia"
"8055","elicit","suscitar"
"8056","Czech","checos"
"8057","barbarism","barbarie"
"8058","covered","cubierto"
"8059","km","km"
"8060","provide","proporcionen"
"8061","extend","extienda"
"8062","mckenna","mckenna"
"8063","accelerated","acelerado"
"8064","madness","locura"
"8065","dissidents","disidentes"
"8066","movie theater","cine"
"8067","serve","sirvan"
"8068","discrepancy","discrepancia"
"8069","indirect","indirectos"
"8070","transport","transportar"
"8071","preventive","preventivo"
"8072","proud","orgullosa"
"8073","extinction","extinciã"
"8074","harãan","harã­an"
"8075","elles","elles"
"8076","masses","masas"
"8077","primacy","primacã­a"
"8078","plus","plus"
"8079","advanced","avanzadas"
"8080","intervenes","interviene"
"8081","discard","descartar"
"8082","voluntary","voluntarias"
"8083","trust","confã­a"
"8084","id","id"
"8085","savary","savary"
"8086","distributed","distribuida"
"8087","federalist","federalista"
"8088","wildlife","fauna"
"8089","temperature","temperatura"
"8090","driving","impulsando"
"8091","ratify","ratifiquen"
"8092","honey","miel"
"8093","dedicate","dedicarse"
"8094","we proposed","propusimos"
"8095","be used","emplearse"
"8096","surround","rodean"
"8097","paid","pagados"
"8098","Kenya","kenia"
"8099","gradin","gradin"
"8100","bonn","bonn"
"8101","Guardian","guardiana"
"8102","favored","favorecidas"
"8103","they call","llaman"
"8104","organized","organizados"
"8105","mercy","merced"
"8106","delivered","entregado"
"8107","treated","tratada"
"8108","appreciated","apreciado"
"8109","expressed","expresados"
"8110","kofi","kofi"
"8111","stand out","destacan"
"8112","eighteen","dieciocho"
"8113","suppressed","suprimido"
"8114","trash","basura"
"8115","spiral","espiral"
"8116","To stop","separa"
"8117","habitually","habitualmente"
"8118","grant","concedan"
"8119","cost","costo"
"8120","checked","marcada"
"8121","fundraiser","recaudaciã"
"8122","we apply","aplicamos"
"8123","inverse","inversa"
"8124","Alps","alpes"
"8125","forget","olvida"
"8126","defeat","derrota"
"8127","decent","decente"
"8128","same","same"
"8129","ovine","ovino"
"8130","doping","dopaje"
"8131","pidla","pidla"
"8132","revisions","revisiones"
"8133","fantastic","fantã"
"8134","they come","provienen"
"8135","they lost","perdieron"
"8136","freeze","congelaciã"
"8137","premise","premisa"
"8138","pirker","pirker"
"8139","cabotage","cabotaje"
"8140","thorough","minucioso"
"8141","Hello","alo"
"8142","predecessor","predecesor"
"8143","side stand","costado"
"8144","enrichment","enriquecimiento"
"8145","imply","implicarã"
"8146","they reach","alcanzan"
"8147","includes","incluã­a"
"8148","correct","correctos"
"8149","cocoa","cacao"
"8150","Ricas","rgicas"
"8151","ster","ster"
"8152","flexicurity","flexiguridad"
"8153","they received","recibieron"
"8154","bridges","puentes"
"8155","approve","aprueban"
"8156","destined","destinan"
"8157","characterize","caracterizan"
"8158","occur","ocurren"
"8159","dalai","dalai"
"8160","arbitrary","arbitraria"
"8161","separated","separada"
"8162","skilled","cualificado"
"8163","received","recibidas"
"8164","grown up","crecido"
"8165","eliminate","elimina"
"8166","cooperations","cooperaciones"
"8167","affect","afecten"
"8168","enter","introducirse"
"8169","presuppose","presupone"
"8170","huã","huã"
"8171","clean","limpios"
"8172","ignored","ignorado"
"8173","Austrian","austriaco"
"8174","avian","aviar"
"8175","overseas","ultramar"
"8176","incompatible","incompatibles"
"8177","express him","expresarle"
"8178","We perform","realizamos"
"8179","know","conozcan"
"8180","let's count","contemos"
"8181","supplementary","suplementaria"
"8182","committed","cometidas"
"8183","objectively","objetivamente"
"8184","feder","feder"
"8185","right","derechas"
"8186","wishing","deseando"
"8187","announcement","convocatoria"
"8188","circulate","circulan"
"8189","announces","anuncia"
"8190","violating","violando"
"8191","adaptations","adaptaciones"
"8192","practice","practica"
"8193","divorce","divorcio"
"8194","financing","financiando"
"8195","favor","favorezca"
"8196","controlling","mayoritario"
"8197","impartiality","imparcialidad"
"8198","maturity","madurez"
"8199","remember","recuerden"
"8200","Inventory","inventario"
"8201","moderate","moderado"
"8202","teenagers","adolescentes"
"8203","I present","presento"
"8204","et","et"
"8205","protect","protejan"
"8206","consequently","consecuentemente"
"8207","drive","manejar"
"8208","to explore","explorar"
"8209","satisfactory","satisfactorias"
"8210","taxation","tributaciã"
"8211","lie","estriba"
"8212","change","cambien"
"8213","I requested","solicite"
"8214","take advantage","aproveche"
"8215","let's work","trabajemos"
"8216","appeared","aparecido"
"8217","acuã","acuã"
"8218","lean on","apoyarse"
"8219","environment","medioambiente"
"8220","getting closer","acercarse"
"8221","scott","escocã"
"8222","modify","modificarse"
"8223","fish","pez"
"8224","leave it","dejarlo"
"8225","specify","especificar"
"8226","increase","incrementa"
"8227","insufficiency","insuficiencia"
"8228","deplorable","deplorable"
"8229","situated","situada"
"8230","observing","observando"
"8231","fse","fse"
"8232","give yourself","concederse"
"8233","borrowed","prestada"
"8234","will bring","traerã"
"8235","distribute","repartir"
"8236","German","alemanas"
"8237","elect","electo"
"8238","complicated","complicados"
"8239","accept","aceptarse"
"8240","mutilaciã","mutilaciã"
"8241","ga","ga"
"8242","ignorance","ignorancia"
"8243","composite","compuesta"
"8244","we are happy","alegramos"
"8245","preside","presidir"
"8246","rectify","rectificar"
"8247","combustiã","combustiã"
"8248","lange","lange"
"8249","catalyst","catalizador"
"8250","SW","so"
"8251","assumed","asumidos"
"8252","vaccine","vacuna"
"8253","open","abrirse"
"8254","lose","pierda"
"8255","balcã","balcã"
"8256","remained","permanecido"
"8257","Uganda","uganda"
"8258","Conversation","conversaciã"
"8259","nassauer","nassauer"
"8260","annul","anulaciã"
"8261","rumors","rumores"
"8262","fischer","fischer"
"8263","desired","deseados"
"8264","manifest","manifiestan"
"8265","irresponsibility","irresponsabilidad"
"8266","left","izquierdo"
"8267","originally","originalmente"
"8268","artificial","artificiales"
"8269","sand","arena"
"8270","involved","implicada"
"8271","signed","firmaron"
"8272","unequivocal","inequã­voco"
"8273","interdependence","interdependencia"
"8274","preã","preã"
"8275","transfers","traslados"
"8276","facilitate","facilitan"
"8277","attribute","atribuir"
"8278","hydrocarbons","hidrocarburos"
"8279","assume","asumen"
"8280","we look","miramos"
"8281","Rwanda","ruanda"
"8282","be understood","entenderse"
"8283","neoliberals","neoliberales"
"8284","irreversible","irreversible"
"8285","valuable","valiosos"
"8286","bovine","bovina"
"8287","pregnancy","embarazo"
"8288","detailed","detallados"
"8289","received","recibida"
"8290","consultants","asesores"
"8291","superstate","superestado"
"8292","wild","salvaje"
"8293","form","forme"
"8294","tour","gira"
"8295","attributes","atribuye"
"8296","soã","soã"
"8297","take advantage","aprovechan"
"8298","specificity","especificidad"
"8299","listen out","escuchã"
"8300","regulated","regulada"
"8301","they celebrated","celebraron"
"8302","slaughter","matanza"
"8303","left","izquierdas"
"8304","reactivation","reactivaciã"
"8305","greenland","groenlandia"
"8306","brittan","brittan"
"8307","alexander","alexander"
"8308","distinguished","distinguido"
"8309","limit","mite"
"8310","Regulatory","reglamentarias"
"8311","contain","contenã­a"
"8312","uncertainty","incertidumbres"
"8313","reãºnen","reãºnen"
"8314","caused","causadas"
"8315","backed","respaldada"
"8316","modest","modesto"
"8317","grateful","agradecida"
"8318","comeback","remonta"
"8319","expensive","caros"
"8320","marãn","marã­n"
"8321","contemporã","contemporã"
"8322","understand","entiendan"
"8323","discomfort","malestar"
"8324","waste","despilfarro"
"8325","criminal","delictivas"
"8326","repeat","repeticiã"
"8327","homologation","homologaciã"
"8328","majority","mayoritaria"
"8329","haarder","haarder"
"8330","denounced","denunciado"
"8331","incorporate","incorpore"
"8332","goal","metã"
"8333","reduced","reducidas"
"8334","stay","quedarnos"
"8335","doyle","doyle"
"8336","pesticides","pesticidas"
"8337","applause","aplauso"
"8338","cites","cites"
"8339","results","resultas"
"8340","narcotics","estupefacientes"
"8341","bet","apostar"
"8342","signed","firmados"
"8343","support","soportan"
"8344","negaciã","negaciã"
"8345","compromise","comprometan"
"8346","anti-Semitism","antisemitismo"
"8347","closed","cerradas"
"8348","optimists","optimistas"
"8349","evaluated","evaluado"
"8350","horrible","horrible"
"8351","manage","administrar"
"8352","weakening","debilitamiento"
"8353","lose","pierdan"
"8354","food","alimento"
"8355","will create","crearã­a"
"8356","scientifically","cientã­ficamente"
"8357","acquired","adquirida"
"8358","wonderful","maravilloso"
"8359","conventional","convencional"
"8360","floors","suelos"
"8361","ãstico","ã­stico"
"8362","ped","pedã­"
"8363","sd","sd"
"8364","data","data"
"8365","subsidize","subvencionar"
"8366","register","registran"
"8367","bring","trae"
"8368","replaced","sustituido"
"8369","compromise","comprometa"
"8370","omi","omi"
"8371","will determine","determinarã"
"8372","versa","versa"
"8373","ability","habilidad"
"8374","we will try","intentaremos"
"8375","they change","cambian"
"8376","people in need","necesitados"
"8377","contradictory","contradictorias"
"8378","I dare","atrevo"
"8379","deal","enfrentar"
"8380","incredibly","increã­blemente"
"8381","arrogance","arrogancia"
"8382","signatories","signatarios"
"8383","heads","cabezas"
"8384","kept up","mantuvo"
"8385","dismantle","desmantelar"
"8386","secondary","secundarios"
"8387","guide","guiar"
"8388","clarify","clarificaciã"
"8389","provocation","provocaciã"
"8390","submit","someta"
"8391","we kept","mantuvimos"
"8392","authorized","autorizadas"
"8393","we search","buscamos"
"8394","spear","lanzã"
"8395","they experience","experimentan"
"8396","we set","fijamos"
"8397","trees","rboles"
"8398","meetings","encuentros"
"8399","faced","enfrentado"
"8400","enable","posibilitar"
"8401","diligence","diligencia"
"8402","prevails","prevalece"
"8403","sinã","sinã"
"8404","tried","probado"
"8405","win","ganan"
"8406","I notice","constato"
"8407","finland","finlandã"
"8408","rationalize","racionalizar"
"8409","emitiã","emitiã"
"8410","tripartite","tripartito"
"8411","paternity","paternidad"
"8412","Aerona","aeronã"
"8413","kallas","kallas"
"8414","I come","vengo"
"8415","divulgaciã","divulgaciã"
"8416","Indicate","indicã"
"8417","microcr","microcrã"
"8418","elementary","elementales"
"8419","dista","dista"
"8420","Shall","formarã"
"8421","normal","normalidad"
"8422","locked","bloqueado"
"8423","tajani","tajani"
"8424","appreciates","aprecia"
"8425","forbidden","prohibida"
"8426","ludford","ludford"
"8427","howitt","howitt"
"8428","hake","merluza"
"8429","great","estupendo"
"8430","laudable","encomiable"
"8431","commissioned","encargadas"
"8432","progressive","progresivo"
"8433","statistics","estadã­stico"
"8434","granted","concedidos"
"8435","salafranca","salafranca"
"8436","debate","debata"
"8437","delayed","retrasado"
"8438","to diversify","diversificar"
"8439","claim","reclaman"
"8440","they favor","favorecen"
"8441","involve","involucrar"
"8442","replace","reemplazar"
"8443","repeated","reiteradas"
"8444","we advance","avanzamos"
"8445","they control","controlan"
"8446","early","precoz"
"8447","runners","corredores"
"8448","dessert","postre"
"8449","deserved","merecido"
"8450","Park","parque"
"8451","say","opinan"
"8452","undertake","acometer"
"8453","tac","tac"
"8454","we came","venimos"
"8455","let's go","pasemos"
"8456","convincing","convincentes"
"8457","Valley","valle"
"8458","consist","consisten"
"8459","we value","valoramos"
"8460","extensive","extensiva"
"8461","horror","horror"
"8462","invoices","facturas"
"8463","answered","contestado"
"8464","fishing grounds","caladeros"
"8465","mention","mencione"
"8466","alluded to","aludido"
"8467","load","cargar"
"8468","paradox","paradoja"
"8469","recognize it","reconocerlo"
"8470","Excluded","excluidas"
"8471","impoverished","empobrecido"
"8472","turkmenistã","turkmenistã"
"8473","functional","funcional"
"8474","rows","filas"
"8475","racist","racista"
"8476","searched","buscado"
"8477","confederation","confederaciã"
"8478","contã","contã"
"8479","tourist","turã­stica"
"8480","born","nacido"
"8481","aspire","aspiran"
"8482","statutes","estatutos"
"8483","we face","afrontamos"
"8484","to","to"
"8485","accuses","acusa"
"8486","pure","puro"
"8487","green","green"
"8488","old","viejas"
"8489","biotecnolã","biotecnolã"
"8490","salaries","sueldos"
"8491","define","defina"
"8492","microenterprises","microempresas"
"8493","leader","leader"
"8494","manifestly","manifiestamente"
"8495","spectacular","espectacular"
"8496","incorporate","incorporen"
"8497","derivative","derivada"
"8498","inscribed","inscritos"
"8499","competition","concurso"
"8500","productive","productivas"
"8501","dayton","dayton"
"8502","rough","spero"
"8503","pigs","cerdos"
"8504","slaughter","masacre"
"8505","smokers","fumadores"
"8506","scarce","escasas"
"8507","purchasing","adquisitivo"
"8508","shorts","cortos"
"8509","publish","publicarã"
"8510","go to","ira"
"8511","excesses","excesos"
"8512","bang","explosiã"
"8513","start","iniciarse"
"8514","summarizing","resumiendo"
"8515","prolongation","prolongaciã"
"8516","include","incluyã"
"8517","massive","masivos"
"8518","payment","cobro"
"8519","unesco","unesco"
"8520","Profiles","perfiles"
"8521","flynn","flynn"
"8522","European","europeoâ"
"8523","conceding","concediendo"
"8524","resorting","recurriendo"
"8525","like","guste"
"8526","centralized","centralizado"
"8527","coastal","costera"
"8528","internally","internamente"
"8529","tribute","tributo"
"8530","eritrea","eritrea"
"8531","costly","costosa"
"8532","interview","entrevista"
"8533","passed","pasadas"
"8534","will encourage","fomentarã"
"8535","sciences","ciencias"
"8536","indicative","indicativo"
"8537","colonial","colonial"
"8538","involved","involucradas"
"8539","fill in","llenar"
"8540","crowley","crowley"
"8541","to blame","culpar"
"8542","Honest","honestos"
"8543","buitenweg","buitenweg"
"8544","Quaestors","cuestores"
"8545","spend","gastan"
"8546","cause","ocasionar"
"8547","sitãºan","sitãºan"
"8548","admiration","admiraciã"
"8549","weird","rara"
"8550","board","aborden"
"8551","erosiã","erosiã"
"8552","Neapolitan","napolitano"
"8553","intense","intensas"
"8554","surja","surja"
"8555","overwhelming","abrumadora"
"8556","profit","lucro"
"8557","farce","farsa"
"8558","negotiator","negociadora"
"8559","obvious","obvia"
"8560","branches","ramas"
"8561","morillon","morillon"
"8562","jarov","jarov"
"8563","philippines","filipinas"
"8564","immediate","inmediatos"
"8565","controlled","controlados"
"8566","repeat","repetirse"
"8567","balances","equilibrios"
"8568","clinton","clinton"
"8569","will work","trabajarã"
"8570","congratulate us","felicitarnos"
"8571","undeniable","innegable"
"8572","I conclude","concluyo"
"8573","curious","curioso"
"8574","differs","difiere"
"8575","Registered","registradas"
"8576","we allow","permitimos"
"8577","wake","despertar"
"8578","cancel","anular"
"8579","anticipate","anticipar"
"8580","cooperating","cooperando"
"8581","precarious","precaria"
"8582","marinas","marinas"
"8583","tourist","turã­sticos"
"8584","we continue","continuamos"
"8585","skills","habilidades"
"8586","compliments","elogios"
"8587","animated","animado"
"8588","represented","representadas"
"8589","conclude","concluyã"
"8590","utter","pronuncie"
"8591","talent","talento"
"8592","Opera","opera"
"8593","fear","teme"
"8594","reãºna","reãºna"
"8595","constitutive","constitutivo"
"8596","net","neto"
"8597","I call","llamo"
"8598","underline","subrayã"
"8599","omission","omisiã"
"8600","pursue","persiguen"
"8601","manufacture","fabricar"
"8602","sanction","sancionar"
"8603","translate","traducirse"
"8604","let us begin","empecemos"
"8605","separated","separados"
"8606","give me","darme"
"8607","deal maker","negociador"
"8608","martens","martens"
"8609","lose","perdã"
"8610","laboratories","laboratorios"
"8611","qualified","calificado"
"8612","opportunely","oportunamente"
"8613","maghreb","magreb"
"8614","empty","vacã­as"
"8615","powerful","poderosa"
"8616","supervisors","supervisores"
"8617","repeat","repite"
"8618","back up","respalde"
"8619","centralized","centralizada"
"8620","prevent","impidan"
"8621","successive","sucesivos"
"8622","rigorously","rigurosamente"
"8623","calendars","calendarios"
"8624","pacific","pacã­ficas"
"8625","Christian","cristiano"
"8626","they argue","sostienen"
"8627","concerted","concertada"
"8628","amend","enmendar"
"8629","to tend","tender"
"8630","to experience","experimentar"
"8631","objects","objetos"
"8632","cooperatives","cooperativas"
"8633","weakens","debilita"
"8634","whitehead","whitehead"
"8635","passenger cars","turismos"
"8636","multiple","mãºltiple"
"8637","female","femenino"
"8638","regulate","regule"
"8639","reach","llegara"
"8640","together","reunidos"
"8641","Tibetan","tibetano"
"8642","quantitative","cuantitativos"
"8643","eventual","eventuales"
"8644","Passion","pasiã"
"8645","instant","instante"
"8646","doubt","dudar"
"8647","getting","consiguiendo"
"8648","Cuban","cubano"
"8649","Sub-Saharan","subsahariana"
"8650","armed","armado"
"8651","Zaire","zaire"
"8652","prohibited","prohibidas"
"8653","quota","contingente"
"8654","condemned","condenada"
"8655","isolated","aislada"
"8656","signatories","firmantes"
"8657","anzas","anzas"
"8658","tremendously","tremendamente"
"8659","singles","sencillos"
"8660","confirm","confirme"
"8661","detected","detectado"
"8662","approving","aprobando"
"8663","try","intenten"
"8664","develop","desarrollarã"
"8665","worsened","empeorado"
"8666","disappeared","desaparecidos"
"8667","finalize","finalizaciã"
"8668","balanced","equilibradas"
"8669","they influence","influyen"
"8670","desired","deseada"
"8671","forwarded","remitido"
"8672","mecã","mecã"
"8673","grant","concederã"
"8674","disturbing","inquietante"
"8675","solved","resueltos"
"8676","Gibraltar","gibraltar"
"8677","typic","tã­pico"
"8678","plead","abogar"
"8679","creed","creã­do"
"8680","take us","llevarnos"
"8681","lower","rebajar"
"8682","complications","complicaciones"
"8683","surrounds","rodea"
"8684","successful","exitosa"
"8685","keep us","mantenernos"
"8686","take advantage","aprovechen"
"8687","ready","listo"
"8688","Birth","parto"
"8689","Hard","duros"
"8690","allegations","alegaciones"
"8691","minsk","minsk"
"8692","travel","desplazarse"
"8693","managers","directivos"
"8694","nominal","nominales"
"8695","drink","bebã"
"8696","airbus","airbus"
"8697","protected","protegida"
"8698","coffee","cafã"
"8699","austrian","austrã­aco"
"8700","financed","financiada"
"8701","go through","atraviesan"
"8702","speculators","especuladores"
"8703","nationalist","nacionalista"
"8704","see him","verlo"
"8705","finance","financiarse"
"8706","form","formen"
"8707","schrã","schrã"
"8708","stick","atenerse"
"8709","Closed","cerrados"
"8710","ceã","ceã"
"8711","stereotypes","estereotipos"
"8712","andersson","andersson"
"8713","subsistence","subsistencia"
"8714","cooperate","cooperen"
"8715","fluctuations","fluctuaciones"
"8716","incite","incitaciã"
"8717","test","ensayo"
"8718","fights","luchas"
"8719","strengthen","refuercen"
"8720","continuous","continuos"
"8721","medicine","medicamento"
"8722","medium","medianos"
"8723","take us","tomarnos"
"8724","fix","fijan"
"8725","montã","montã"
"8726","storm","tormenta"
"8727","gypsy","gitana"
"8728","Weaknesses","debilidades"
"8729","pay to","pagarã"
"8730","hughes","hughes"
"8731","ferber","ferber"
"8732","reciprocal","recã­proco"
"8733","aggravated","agravado"
"8734","corral","corral"
"8735","optimize","optimizar"
"8736","will have","dispondrã"
"8737","modest","modesta"
"8738","highlighted","resaltado"
"8739","we will keep","mantendremos"
"8740","inconceivable","inconcebible"
"8741","supplementary","suplementarios"
"8742","fruitful","fructã­fero"
"8743","cited","citada"
"8744","Edinburgh","edimburgo"
"8745","pvc","pvc"
"8746","encourage","fomenten"
"8747","controversial","controvertida"
"8748","experiment","experimento"
"8749","they cover","cubren"
"8750","monnet","monnet"
"8751","I wrote","escribiã"
"8752","university students","universitarios"
"8753","residual","residuales"
"8754","promoted","promovido"
"8755","summarized","resumidas"
"8756","intellectuals","intelectuales"
"8757","Ordinary","ordinario"
"8758","chã","chã"
"8759","allow","permitiera"
"8760","authorized","autorizada"
"8761","solidity","solidez"
"8762","modified","modificadas"
"8763","flora","flora"
"8764","urged","instado"
"8765","executive","ejecutiva"
"8766","honest","honesto"
"8767","transformations","transformaciones"
"8768","exempt","exentos"
"8769","killers","asesinos"
"8770","salary","sueldo"
"8771","experimentaciã","experimentaciã"
"8772","managed","gestionado"
"8773","immunities","inmunidades"
"8774","combined","combinada"
